sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
S67	Peltigera_gayae	peltigeraceae	peltigera	no	terricolous	symbiotic						
S68	Peltigera_gayae	peltigeraceae	peltigera	no	terricolous	symbiotic						
S8	Physma_sp	pannariaceae	physma	no		symbiotic						
S82	Peltigera_pulverulenta_3	peltigeraceae	peltigera	no	terricolous	symbiotic						
S83	Peltigera_pulverulenta_3	peltigeraceae	peltigera	no	terricolous	symbiotic						
S85	Peltigera_dolichorhiza	peltigeraceae	peltigera	no	terricolous	symbiotic						
S86	Peltigera_pulverulenta	peltigeraceae	peltigera	no	terricolous	symbiotic						
S88	Peltigera_pulverulenta_2	peltigeraceae	peltigera	no	terricolous	symbiotic						
S9	Physma_sp	pannariaceae	physma	no		symbiotic						
S90	Peltigera_sp_6	peltigeraceae	peltigera	no	terricolous	symbiotic						
S91	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S92	Peltigera_sp_1	peltigeraceae	peltigera	no	terricolous	symbiotic						
S93	Peltigera_appalachensis	peltigeraceae	peltigera	no	terricolous	symbiotic						
S94	Peltigera_dolichorhiza_2	peltigeraceae	peltigera	no	terricolous	symbiotic						
S95	Peltigera_sp_2b	peltigeraceae	peltigera	no	terricolous	symbiotic						
X2	Peltigera_aff_neorufescens	peltigeraceae	peltigera	no	terricolous	symbiotic						
